AUTHOR;COUNTRY;DESCRIPTION;KEYWORDUSED;LANGUAGE;LIKEDAT;LIKES;POSTEDAT;URL
TextTrans;;Last week SlatorCon Remote took place with Andrew Smart, Slator Commercial Director, and conference host. Here many key opinion #leaders in the #localization #industry talked about #trends and growth within the industry for next year. Florian Faes, Slator’s corporate headquarters in Zurich, Manag;#localization;English;2022-12-13T13:20:26.316764;4;2022-12-13T11:49:38.440071;https://www.linkedin.com/feed/update/urn:li:activity:7008397424972992512/?actorCompanyId=1176657
Paola Immediato;;Die Social Media Landschaft ändert sich stetig, manchmal sogar abrupt. Was tun, damit die eigene Marketing-Kommunikation nicht darunter leidet? In diesem Video verrate ich die Lösung, die ich nächstes Jahr für mein Übersetzungsbüro umsetzen werden. Vielleicht kannst du sie auch für dich nutzen. Apr;Übersetzungsbüro;German;2022-12-13T13:19:40.986836;6;2022-12-13T09:34:33.404087;https://www.linkedin.com/feed/update/urn:li:activity:7008358036951977984/?actorCompanyId=1176657
Atlas Translations | Translation Agency;;Delighted to announce that we are finalists in not one… 🎉 not two…🎉🎉 but THREE categories in the SME Business Awards for 2023! 🎉🎉🎉 Atlas Translations are up for Employer of the Year, and our Director Clare Suttie is up for Business Woman of the Year and Business Person of the Year. Keep your;#translationagency;English;2022-12-13T13:19:27.411407;9;2022-12-13T09:14:38.159355;https://www.linkedin.com/feed/update/urn:li:activity:7008355846837444610/?actorCompanyId=1176657
Mhd Adnan Falion;;Die pädagogische Psychologie hat mehrfach gezeigt, dass Noten von vielen leistungsfremden Faktoren (wie Sympathie, soziale Herkunft, Handschrift, Benehmen etc.) beeinflussbar sind. Es gibt gute Ergänzungsmechanismen für Noten, die mehr Präzesion und Objektivität bringen, z.B. Kompetenzenraster oder;Sprachen;German;2022-12-13T13:05:05.955476;2;2022-12-13T10:06:19.553294;https://www.linkedin.com/feed/update/urn:li:activity:7008361024265297920/?actorCompanyId=1176657
Gaia-X Hub Germany;;🎧 Wie können wir mithilfe von Daten die Mobilität der Zukunft gestalten und verbessern? Diese Frage steht im Zentrum der Folge zum Thema Smart Mobility des Podcasts 'Das Ohr am Netz' vom eco - Verband der Internetwirtschaft e.V. https://lnkd.in/ezYBupcx Dafür sprachen Sidonie Krug und Sven Oswald;Sprachen;German;2022-12-13T13:04:55.403176;11;2022-12-13T10:06:17.073314;https://www.linkedin.com/feed/update/urn:li:activity:7008362097646403584/?actorCompanyId=1176657
eduwo;;Ist es als Erwachsene:r zu spät, eine neue Sprache zu lernen? 📝 Ganz im Gegenteil! In diesem Beitrag erklären wir dir, wie dich eine neue Fremdsprache nicht nur im Privatleben, sondern auch beruflich voranbringen kann 🚀 #sprachen #fremdsprache #lifelonglearning #bildung #weiterbildung #karriere;Sprachen;German;2022-12-13T13:04:44.744345;5;2022-12-13T10:06:15.161344;https://www.linkedin.com/feed/update/urn:li:activity:7008362926323474432/?actorCompanyId=1176657
Madeleine Girke;;Das Jahr 2022 neigt sich dem Ende zu. Die 3 Säulen meines beruflichen Lebens - Coaching, Künstler Management, Nachlassverwaltung - waren in diesem Jahr sehr erfolgreich und gleichermaßen herausfordernd. Wie immer werde ich mich ab kommenden Montag für einen Monat in meine digitale und körperliche De;Sprachen;German;2022-12-13T13:04:15.820068;8;2022-12-13T10:06:06.508620;https://www.linkedin.com/feed/update/urn:li:activity:7008369713231585280/?actorCompanyId=1176657
Frank Geus;;Unser ""bestserv Support Portal"" im neuen Release: - Entwickelt als Wordpress-Plugin, einfache Integration - Modularer Aufbau - Helpdesk-Basismodul - Lizenz- & Service-Modul für MS CSP, Azure, Sophos MSP u.v.m. - Verwaltung von Managed Services & Vereinbarungen - Ticket-Historie - Pro-Modul mit kompl;Sprachen;German;2022-12-13T13:04:04.810213;4;2022-12-13T10:06:04.540157;https://www.linkedin.com/feed/update/urn:li:activity:7008369850666360832/?actorCompanyId=1176657
skair ag;;Warum liebt die skair die aktuellen Wetterbedingungen? Weil genau dieses Wetter optimal ist, um aussagekräftige Wärmebilder von Ihrem Gebäude aufzunehmen. Die Einsatzmöglichkeiten hierfür können vielseitig sein: • Feuchtigkeitseintritte • Ausführungsmängel in der Gebäudestruktur • Fehlerhaft vera;Lokalisierung;German;2022-12-13T13:02:45.755867;2;2022-12-13T09:18:41.655700;https://www.linkedin.com/feed/update/urn:li:activity:7008352505059233792/?actorCompanyId=1176657
Michael Lutz;;Förderung von Begabungen und Talenten: Ich mache die ersten konkreten Schritte zur Umsetzung! ↓ Vorangegangen ist mein Post von vorletzter Woche «(Hoch)begabte Kinder gibt es nicht in der Schule!» auf Linkedin, woraus sich einige vielversprechende Kontakte ergeben haben. Unter anderem ein spannend;Sprachen;German;2022-12-13T13:01:44.991495;2;2022-12-13T07:23:53.028194;https://www.linkedin.com/feed/update/urn:li:activity:7008327300601544704/?actorCompanyId=1176657
Panacea Mobile;;Bulk SMS is a form of conversational commerce that lets you communicate with your customers via text message. Since bulk SMS can be sent to multiple users at once, it’s a great tool for businesses of all sizes to be used in a variety of ways—from communicating with customers, employees, and supplie;#globalcommunication;English;2022-12-13T13:00:57.802241;2;2022-12-13T07:30:36.268398;https://www.linkedin.com/feed/update/urn:li:activity:7008332252031954945/?actorCompanyId=1176657
VUBIQUITY;;“Making media content accessible and resonant to global audiences requires a multidimensional approach to inclusion & diversity.” In MESA's latest M+E Journal, Matteo Natale (Head of Global Accessibility, Localization Services, Vubiquity) and Gustavo Marzolla (Director of Linguistics, Vubiquity) of;#localization;English;2022-12-13T12:41:23.605738;3;2022-12-12T17:34:33.005989;https://www.linkedin.com/feed/update/urn:li:activity:7008119311391203328/?actorCompanyId=1176657
Schotstek;;Zwei Powerfrauen im Gespräch: Vizepräsidentin des Deutschen Bundestags Aydan Özoguz und die Ärztin Dr. med. Emine Çetin waren beim letzten Schotstek Monatsgespräch zu Gast. Unsere Gäste sprachen über die Themenfelder Einwandererfamilie-Frau-Freiheit, Karrierewege, die Bedeutung von Freundschaft, Mut;Sprachen;German;2022-12-13T12:13:08.030927;9;2022-12-13T10:22:38.430909;https://www.linkedin.com/feed/update/urn:li:activity:7008375384350052353/?actorCompanyId=1176657
Thanh Duong-Nguyen;;Schöner Tag, Ich lerne gerne Sprachen, um andere Zivilisationen zu erkunden. Es bringt mir viel Spaß nach einem guten Arbeitstag. Nach Englisch, Französisch und Chinesisch ist nun auch Deutsch in Sicht. Ich hoffe auf mehr Gelegenheiten, meine neuen Sprachkenntnisse anzuwenden. Bitte üben Sie mit mir;Sprachen;German;2022-12-13T12:12:55.244058;6;2022-12-13T10:39:34.202892;https://www.linkedin.com/feed/update/urn:li:activity:7008379673223081984/?actorCompanyId=1176657
SWS Schulen für Wirtschaft und Sprachen;;Herzliche Gratulation liebe Sandra & weiterhin viel Erfolg! 👌;Sprachen;German;2022-12-13T12:12:43.622291;2;2022-12-13T10:49:31.784259;https://www.linkedin.com/feed/update/urn:li:activity:7008382165579124736/?actorCompanyId=1176657
Haider Linguistics;;Happy Birthday ! #haiderlinguistics #translator #translationservices #language #languageservices #translation #linguistics #birthday #happybirthday #workfamily;#linguistics;English;2022-12-13T12:01:14.809876;2;2022-12-13T08:53:11.196934;https://www.linkedin.com/feed/update/urn:li:activity:7008341258108592129/?actorCompanyId=1176657
Localization Academy;;Starting your business is always the first big step 😁 It’s different for everyone, and Ricard tells us how it was for him. Check out this clip from the new episode of our series ""How I Started"". In this one, Andrej interviewed Ricard Sierra, founder of Kobalt Languages. Want to know more? 👉 Acc;#translation;English;2022-12-13T11:26:25.979454;2;2022-12-12T22:14:58.927633;https://www.linkedin.com/feed/update/urn:li:activity:7008189939272056833/?actorCompanyId=1176657
Sanjay Pandey;;#Awareness of #prostate #prostatecancer is missing in the society and myths and heresay have been deeply ingrained about the same. Men above 50 yrs deserve a timely awareness on various #menshealth issues foremost being #prostatehealth . Department of urology #kokilabenhospital #mumbai takes strides;#languages;English;2022-12-13T11:20:09.703611;2;2022-12-12T18:03:59.146018;https://www.linkedin.com/feed/update/urn:li:activity:7008129067157733376/?actorCompanyId=1176657
Marjolein Thickett, AITI;;🎄 My best Christmas do as a freelancer? Wreath making with literally my oldest friend Ellie Green FRGS . 🔥 Fire on, wine warming, snacks at the ready, the boys Adam Thickett AMIMechE and Matt Green directing from the sidelines ... 🤦‍♀️ What more could you want? Have you had a Christmas do? Ho;#translator;English;2022-12-13T11:13:49.580525;11;2022-12-13T09:01:39.117985;https://www.linkedin.com/feed/update/urn:li:activity:7008342686856273920/?actorCompanyId=1176657
Lucas Peltonen;;#reposting this. It looks like, aside from English as a Lingua Franca spanning the globe, there is interest in some regional lingua francas (French in Africa), official languages (French in Canada), local languages (Swedish in Sweden - migration?), and heritage languages (Gaelic Irish in Ireland). T;#linguistics;English;2022-12-13T11:10:37.647056;2;2022-12-12T11:08:03.225025;https://www.linkedin.com/feed/update/urn:li:activity:7008024507638579200/?actorCompanyId=1176657
Christian Singer;;Der Burnoutzyklus nach Freudberber/North Teil 5. Mit der Umdeutung der eigenen Werten beginnt ein weiteres gefährliches Kapitel in der Burnoutentwicklung. Wie schon in den anderen Beiträgen erwähnt, hatte ich nur noch das eine Ziel, mit meiner Selbständigkeit erfolgreich zu werden. Dem hatte ich all;Sprachen;German;2022-12-13T10:40:16.565950;2;2022-12-13T07:34:21.217429;https://www.linkedin.com/feed/update/urn:li:activity:7008333192629739520/?actorCompanyId=1176657
Fraunhofer Karriere;;𝗜𝗻𝘀𝘁𝗶𝘁𝘂𝘁𝘀-𝗣𝗼𝗿𝘁𝗿ä𝘁: 𝗙𝗿𝗮𝘂𝗻𝗵𝗼𝗳𝗲𝗿-𝗜𝗻𝘀𝘁𝗶𝘁𝘂𝘁 𝗳ü𝗿 𝗜𝗻𝘁𝗲𝗴𝗿𝗶𝗲𝗿𝘁𝗲 𝗦𝗰𝗵𝗮𝗹𝘁𝘂𝗻𝗴𝗲𝗻 𝗜𝗜𝗦 Das Fraunhofer IIS mit Hauptsitz in Erlangen betreibt internationale Spitzenforschung für mikroelektronische und informationstechnische Systemlösungen und Dienstleistung;Lokalisierung;German;2022-12-13T10:13:57.976112;2;2022-12-12T18:03:07.226461;https://www.linkedin.com/feed/update/urn:li:activity:7008122712963358721/?actorCompanyId=1176657
Wayne Edwards;;This is awesome!;#linguistics;English;2022-12-13T10:11:03.783330;2;2022-12-12T17:09:36.756911;https://www.linkedin.com/feed/update/urn:li:activity:7008115490883600384/?actorCompanyId=1176657
Tina Zucko;;Why is localization important? #eurotranslate #businessimprovement #translationservices #translation #localization #languageservices #l10n;#translationservices;English;2022-12-13T10:10:25.790636;2;2022-12-12T15:24:16.610776;https://www.linkedin.com/feed/update/urn:li:activity:7008086890792796160/?actorCompanyId=1176657
Iryna Sekret;;Happy Birthday, IATELS!;#languages;English;2022-12-13T10:07:31.368639;2;2022-12-12T14:57:44.547326;https://www.linkedin.com/feed/update/urn:li:activity:7008082405777387520/?actorCompanyId=1176657
Simon Gonzalez;;Engaging in the #sociophonetic #research of #vowels can be a daunting task. In this paper, I share a workflow, specifying #tools and #techniques used in many #frameworks. A big thank you to #DRDhum #jyunique #digitalhumanities #rstats #phonetics #language #linguistics https://lnkd.in/gS54kdiX;#linguistics;English;2022-12-13T10:06:27.262282;2;2022-12-12T12:57:39.026823;https://www.linkedin.com/feed/update/urn:li:activity:7008042964966936576/?actorCompanyId=1176657
Andrej Zito;;How Kobalt Languages were born 👶 #localization #translationagency #originstory;#translationagency;English;2022-12-13T09:44:14.652910;7;2022-12-13T01:34:46.002937;https://www.linkedin.com/feed/update/urn:li:activity:7008242528701276160/?actorCompanyId=1176657
Anshi Rajput;;𝐓𝐫𝐚𝐧𝐬𝐜𝐫𝐞𝐚𝐭𝐨𝐫𝐬 are also copywriters not only translators. They are not only well-versed in translation but content creation as well. Fortunately, you have transcreation agencies like us! Contact Localize for more information -------- #localizea2z #explore #translation #translationserv;#translationagency;English;2022-12-13T09:43:59.632965;4;2022-12-13T05:34:43.671208;https://www.linkedin.com/feed/update/urn:li:activity:7008292989751980032/?actorCompanyId=1176657
Gillian Morris MA MCIL;;Ending a super day in Brussels with Entre les lignes Agency. 💖 An amazing way to end the year. Thank you for welcoming me into your world Tim Renders 🏳️‍🌈, Gyokhan Hamdi, Olivia Nackaerts, Emeline Jamoul, and of course Csaba, who will not see this 😂. #LITranslators #Translation #Transcreation;#translationagency;English;2022-12-13T09:43:30.866760;24;2022-12-13T08:08:31.894608;https://www.linkedin.com/feed/update/urn:li:activity:7008341770174365696/?actorCompanyId=1176657
Kirstin Enderle;;Wie du die schönste Ressource ever aktivierst. Ich habe Fernweh. Kennst du das? Weite. Licht. Natur. Am liebsten weit weg von der Zivilisation. Kürzlich ist mir in einer Buchrezension dieser Text begegnet. ‘Dann stand ich da oben auf dem Gipfel, pünktlich zum Sonnenuntergang, völlig aus der;Sprachen;German;2022-12-13T09:29:50.332318;5;2022-12-13T07:25:30.481327;https://www.linkedin.com/feed/update/urn:li:activity:7008330859791437824/?actorCompanyId=1176657
Anerkennung in Deutschland;;Haben Sie Fragen zur beruflichen #Anerkennung? 👉 Schauen Sie doch mal in unsere #FAQ! Dort finden Sie Antworten auf häufige Fragen in diversen Sprachen: https://lnkd.in/ecW_gZgn;Sprachen;German;2022-12-13T09:29:23.616778;5;2022-12-13T08:14:11.715329;https://www.linkedin.com/feed/update/urn:li:activity:7008343085742989312/?actorCompanyId=1176657
Heike Drexel;;🥺„Wir in Deutschland leben auf Kosten vieler Länder, weil wir mehr importieren als auf unseren Flächen wächst - und das machen wir nur, weil wir soviel wegschmeißen“, sagt Peter Zens. Er ist geschäftsführender Inhaber des Gertrudenhof in Hürth. Wir haben uns im Herbst über eine XING- Veranstaltung;Sprachen;German;2022-12-13T09:29:12.869920;2;2022-12-13T08:15:09.489323;https://www.linkedin.com/feed/update/urn:li:activity:7008343303360233472/?actorCompanyId=1176657
Petr Čermoch;;There's one thing I need to admit... Join me on this emotional rollercoaster (or is it a carousel?) #litranslators #translator #translation #mtpe #freelancerlife;#translator;English;2022-12-13T09:03:09.712827;28;2022-12-13T07:01:19.977100;https://www.linkedin.com/feed/update/urn:li:activity:7008324633703718912/?actorCompanyId=1176657
Yelena McCafferty 💻🎤;;I'm so sad to see so many small businesses suffering as a result of the strikes across the UK, including because of postal delays. And I am relieved to say that most UK authorities accept scanned/electronic certified translations. I still routinely post hard certified translation papers if our clien;#translator;English;2022-12-13T07:49:30.660809;4;2022-12-12T21:37:05.631082;https://www.linkedin.com/feed/update/urn:li:activity:7008182860062810112/?actorCompanyId=1176657
Ben Karl, MBA, CT;;Great intel from my colleague Cédric GODART! 🧽 Google is cleaning house! Its newest helpful content update will apply to all languages and is aimed at helping users find better content. What does this mean for websites? 🎯 The idea is to detect and penalize poor-quality content (read: articles wr;#translation;English;2022-12-13T07:49:11.899773;4;2022-12-12T21:03:38.979445;https://www.linkedin.com/feed/update/urn:li:activity:7008174436596019200/?actorCompanyId=1176657
Salah Al Zein;;Subtitling Services in 75+ Languages For More Information Please Visit Our Website Call / WhatsApp: +971 502885313 https://lnkd.in/g8ZSnjh #subtitling #translation #n #languages #translationservices #translator #voiceover #dubbing #language #subtitles #english #transcription #localization #interpr;#translationagency;English;2022-12-13T07:48:53.656044;2;2022-12-12T19:11:18.495214;https://www.linkedin.com/feed/update/urn:li:activity:7008139943772327936/?actorCompanyId=1176657
Zero Project Company Dialogues;;Unser Zero Project Awardee JAMBA - Career for all organisiert die FemPreneurship Academy (Jänner 2023). In einem barrierefreien 6-wöchigen Entrepreneurship-Programm werden bis zu 20 Frauen mit Behinderungen und/oder Mütter von Kindern mit Behinderungen - die in Wien leben - beraten. Erfahrene Traine;Sprachen;German;2022-12-13T07:43:46.152156;4;2022-12-12T16:46:33.338334;https://www.linkedin.com/feed/update/urn:li:activity:7008095947645689856/?actorCompanyId=1176657
Divya Kadav;;How to speak like a linguist? 🗣️ ___________ Average Person - Hey! Don’t scream loudly. 🙊 Linguist - Don’t pass air through vocal cords with greater force. 🔇 Average Person - Open your mouth and make some noise. Linguist - Vibrate your vocal folds to produce sounds. #linguistics #linguist #m;#linguistics;English;2022-12-13T07:42:55.640197;6;2022-12-12T16:38:40.676201;https://www.linkedin.com/feed/update/urn:li:activity:7008106913146023937/?actorCompanyId=1176657
Gj S page;;In the #Balkans, the #Bible new testament was first translated in the modern languages as below years: 1688: #Romanian -> 'https://lnkd.in/dHm3GHHs 1827: #Albanian (Tosk dialect) -> 'https://lnkd.in/draQVP7R 1828: #Bulgarian (Eastern dialect) -> 'https://lnkd.in/dGyGYjRy 1847: #Serbian (Shtokavian;#languages;English;2022-12-13T07:38:11.377026;2;2022-12-12T13:06:36.665386;https://www.linkedin.com/feed/update/urn:li:activity:7008054406726184960/?actorCompanyId=1176657
Jasmine Zheng;;#recruitment ✨ 🙌 IGG is looking for Part-time/Full-time Remote Spanish Translators (Temporary Contracts) to manage translations. For more information：Jasmine.zheng@igg.com #IGGIgotgames #gaming #remotejobs #spanish #translators #localization #hiring #translation;#translation;English;2022-12-13T07:37:18.786025;2;2022-12-12T12:33:37.455859;https://www.linkedin.com/feed/update/urn:li:activity:7008045947175784449/?actorCompanyId=1176657
Oksana Kalashnikova;;Translating your business content into other languages shouldn’t be an afterthought. Brands around the world are adopting localization into their global strategy – and rightly so. Who and where is your audience? Providing information and content only in your source language isn’t enough – you coul;#translationagency;English;2022-12-13T07:37:00.336197;2;2022-12-11T12:17:57.381668;https://www.linkedin.com/feed/update/urn:li:activity:7007489448129007616/?actorCompanyId=1176657
port-neo;;🔦 Unser Spotlight liegt heute auf dem Essenslieferant foodpanda. Gemeinsam mit unserem Partner Adobe haben sie ein unfassbares Wachstum hingelegt. Das finden wir großartig! 👏 foodpanda ist mit ihrem offenen Online-Marktplatz für Essenslieferungen rund um den Erdball 🌎 aktiv. Um mit mehr als fünf;Sprachen;German;2022-12-13T07:36:26.358009;2;2022-12-12T11:12:38.985796;https://www.linkedin.com/feed/update/urn:li:activity:7008015350243983360/?actorCompanyId=1176657
CCJK Technologies;;Read this article till the end to know the importance of translation for different industries. #translation #translationservices #business;#translationservices;English;2022-12-13T07:35:08.708099;4;2022-12-12T11:34:05.047824;https://www.linkedin.com/feed/update/urn:li:activity:7008030997908713472/?actorCompanyId=1176657
Louis Chognard;;🌍 Let's talk about your e-commerce website breakthrough According to a survey by Common Sense Advisory, 74% of e-commerce customers are more likely to make a second purchase if support is offered in their mother tongue, and 55% of users prefer to shop online in their native language. Additionally;#localization;English;2022-12-13T07:34:22.415217;2;2022-12-12T09:27:49.410479;https://www.linkedin.com/feed/update/urn:li:activity:7007999172905705472/?actorCompanyId=1176657
Elia Suleiman;;Fresh start before the beginning of 2023. #translation #localization #subtitling #dubbing;#translation;English;2022-12-13T07:33:54.097858;2;2022-12-12T09:00:20.171775;https://www.linkedin.com/feed/update/urn:li:activity:7007992349800681472/?actorCompanyId=1176657
Victoria Nicol;;My Language Connection is an experienced medical translation services provider that has worked with many different brands in the medical, biotechnology and pharmaceutical industry. Request accurate pharmaceutical translations today. #pharmaceutical #translationagency https://lnkd.in/g8QvgGZp;#translationagency;English;2022-12-13T07:31:42.721143;2;2022-12-12T07:46:02.493786;https://www.linkedin.com/feed/update/urn:li:activity:7007973590348218368/?actorCompanyId=1176657
Susana Velez, M.Ed;;100% understand this. Happened to me;#translation;English;2022-12-13T07:25:10.404299;2;2022-12-11T16:15:54.276218;https://www.linkedin.com/feed/update/urn:li:activity:7007739518455828480/?actorCompanyId=1176657
Morningside;;If you have been using #Translation and #Localization interchangeably - we won't tell anyone. If you are trying to figure out the main differences between the two don't look any further. https://lnkd.in/dJTN6_9Y #l10n;#localization;English;2022-12-12T23:11:23.405441;2;2022-12-12T21:10:15.064442;https://www.linkedin.com/feed/update/urn:li:activity:7008175885040189440/?actorCompanyId=1176657
Marcela Wray;;Here's to celebrating Christmas in the sun! (Mexico not the UK!) Download The Language Factory’s guide to Christmas and seasonal greetings across the world. http://ow.ly/4jQh50LXi7g #Christmas #language #translation #localisation #localization #mexico;#localization;English;2022-12-12T23:11:11.821149;3;2022-12-12T11:02:09.095513;https://www.linkedin.com/feed/update/urn:li:activity:7008008254601469952/?actorCompanyId=1176657
Florian Niggemeier;;Visibility is always nice for game localization professionals. It was a blast seeing our names in the #credits of #reigns3kingdoms, recently released by #netflixgames. It's a super fun game of choices and consequences! #gamesloc #localization #achievement #videogames #translatorsincredits;#localization;English;2022-12-12T23:10:51.518019;8;2022-12-12T21:46:58.835263;https://www.linkedin.com/feed/update/urn:li:activity:7008185290334822400/?actorCompanyId=1176657
Veronika Chmulikova;;It's that time again & more opportunities await! I'm searching for Japanese & German linguists, why not finish the year by joining the #digitalnomad life! Sound good? Contact us at recruitment@jonckers.com #translation #nomadlifestyle #gigwork #Japanese #deutsch #opportunities;#translation;English;2022-12-12T22:45:53.922942;2;2022-12-12T08:53:48.761909;https://www.linkedin.com/feed/update/urn:li:activity:7007990580353847296/?actorCompanyId=1176657
Gene Schriver;;With over 27.5 million limited-English speakers in the U.S., having language services in an ER or urgent care center is not a luxury but a necessity. In these high-risk situations, language services can help provide patients with life-saving care. https://hubs.ly/Q01vDqJd0 #LanguageAccess #Interpre;#translation;English;2022-12-12T22:39:02.226268;7;2022-12-12T16:35:43.032414;https://www.linkedin.com/feed/update/urn:li:activity:7008101913866952704/?actorCompanyId=1176657
Marvin Rix;;Film ab! 🎥 Heute fanden bei uns im Hause Videodreharbeiten zum ☁️ Cloud Project of the Year 2022 🏆 statt. Im direkten Interview mit Stefan Corvers sprachen wir über die gemeinsame Partnerschaft 🤝 zwischen IONOS und IT-Service MEDATA GmbH. Keano Neumann gab exklusive Einblicke in unser IT-Kunde;Sprachen;German;2022-12-12T22:18:18.963517;15;2022-12-12T20:51:10.214280;https://www.linkedin.com/feed/update/urn:li:activity:7008171307594842113/?actorCompanyId=1176657
Matthias Heß;;🎤 Hoher Besuch im Podcast-Studio. Frederik Waller und Verena Ruebekeil waren heute zu Gast bei uns und sprachen mit unserem stellv. Chefredakteur Lorenz Klein (nicht im Bild) über den aktuellen Stand beim Marktplatz bessergrün und warum sich Vermittler dem Thema Nachhaltigkeit widmen sollten. Für d;Sprachen;German;2022-12-12T22:18:07.659182;9;2022-12-12T20:55:07.966128;https://www.linkedin.com/feed/update/urn:li:activity:7008172178995044352/?actorCompanyId=1176657
Merve Demir;;Thank you! #edX #localization #l10n #translation;#localization;English;2022-12-12T22:01:13.537818;2;2022-12-12T17:45:01.003459;https://www.linkedin.com/feed/update/urn:li:activity:7008124297437167616/?actorCompanyId=1176657
Uli Dendy;;Ultimately, choosing a language services provider or any provider is about meeting your and your customers' needs. In tomorrow's video from TrueLanguage, we won't provide statistics or graphs. Instead, we'll lay out in simple terms the ""why"" of doing business and being understood in other countries.;#translationservices;English;2022-12-12T21:52:10.160170;2;2022-12-12T16:51:41.975128;https://www.linkedin.com/feed/update/urn:li:activity:7008110870165680129/?actorCompanyId=1176657
Florencia Pistritto DPSI MCIL;;Beautiful post and the approach I take when I'm interpreting for clients going through a rough time #interpreting #interpreters #languages;#languages;English;2022-12-12T21:33:10.721255;2;2022-12-12T20:22:08.221171;https://www.linkedin.com/feed/update/urn:li:activity:7008164045706960896/?actorCompanyId=1176657
Julie W.;;Our 2021 #AnnualReport is now out! Stay tuned for highlights from the report over the next couple of weeks, including our many accomplishments, and access the full report here: http://bit.ly/3FNTRSR #CommunityEngagement #Localization #GenderEquity #Inclusion;#localization;English;2022-12-12T21:20:22.516768;2;2022-12-12T19:16:22.647165;https://www.linkedin.com/feed/update/urn:li:activity:7008144355429367809/?actorCompanyId=1176657
Jim Freville;;This Acolad customer, a giant in the toy #manufacturing business experienced: ☑ Immediate savings on #localization ☑ Increased content quality across products and markets ☑ Faster time to market for new products Grab the full #Acolad success story 👉 https://lnkd.in/gjAmAp67;#localization;English;2022-12-12T21:20:00.052284;8;2022-12-12T18:14:29.678001;https://www.linkedin.com/feed/update/urn:li:activity:7008118727909007360/?actorCompanyId=1176657
Slator;;Innovating #translation tech adopted by hundreds of thousands of freelance #translators, #LSPs, and #enterprise customers with RWS Group’s Mark Lawyer 🎙️ Check out slator.ch/Pod142 📺 Listen in 🎧 on Apple Podcasts 👉bit.ly/slatorpod and Spotify 👉bit.ly/slator-pod. #Trados #xl8 #t9n #localization;#localization;English;2022-12-12T21:15:28.092528;2;2022-12-12T16:01:47.264059;https://www.linkedin.com/feed/update/urn:li:activity:7008098214763503616/?actorCompanyId=1176657
Stillman Translations;;🙌 #Newyear, new trends. What’s coming in the #languageexpert world in 2023? The upcoming trends for 2023. Some ideas to start planning your next success.✅👇 #localization #languageaccess #multilingualism #language #Businesscanada #businesseurope https://lnkd.in/ddnUgUxV;#localization;English;2022-12-12T21:15:15.746846;2;2022-12-12T16:27:24.091085;https://www.linkedin.com/feed/update/urn:li:activity:7008104748360855552/?actorCompanyId=1176657
Euro London Appointments;;5 of the best French Christmas films to watch. Whether you’re after a feel-good comedy or something more gritty, there’s a French Christmas movie to suit your mood! #french #france #christmas #noel #movies #languages #multilingual;#languages;English;2022-12-12T20:42:41.077990;2;2022-12-12T14:34:45.349234;https://www.linkedin.com/feed/update/urn:li:activity:7008076496456024065/?actorCompanyId=1176657
Dirk Schaar;;Fachpressetage Hamburg: Wie sieht für RK Rose+Krieger GmbH die Fabrik der Zukunft aus? Und warum ist die #Digitalisierung für den Komponentenlieferanten so wichtig? Wir sprachen mit Geschäftsführer Dr. Gregor Langer: https://lnkd.in/e8qnKfQd #FPTHH Köhler+Partner;Sprachen;German;2022-12-12T20:35:51.359388;2;2022-12-12T18:23:41.232888;https://www.linkedin.com/feed/update/urn:li:activity:7008126217820250112/?actorCompanyId=1176657
Heike Reinsch;;Rückblick 22: »Travelling the EU – crossing borders, mapping aspects« Inspiriert von der Initiative #freeinterrail von Vincent-Immanuel Herr und Martin Speer, durch die Jugendliche ein kostenloses Interrailticket bekommen und damit Europa per Zug entdecken können, machte ich mich mit meiner Kollegi;Sprachen;German;2022-12-12T20:35:29.599870;7;2022-12-12T18:23:35.257336;https://www.linkedin.com/feed/update/urn:li:activity:7008129401569579008/?actorCompanyId=1176657
GO>>ing;;Fachpressetage Hamburg: Wie sieht für RK Rose+Krieger GmbH die Fabrik der Zukunft aus? Und warum ist die #Digitalisierung für den Komponentenlieferanten so wichtig? Wir sprachen mit Geschäftsführer Dr. Gregor Langer: https://lnkd.in/eJvgZuAB #FPTHH Köhler+Partner;Sprachen;German;2022-12-12T20:35:19.276464;4;2022-12-12T18:23:32.901018;https://www.linkedin.com/feed/update/urn:li:activity:7008130220415197184/?actorCompanyId=1176657
Dajana Doskoc;;Was Reisen, Essen, Sprachen, Kulturen und die Bar am Eck mit #SEO zu tun haben? Ich habe mit den Ladies vom #mitmilchundzucker #podcast gequatscht. Hört doch mal rein: https://lnkd.in/eDQN4aNi;Sprachen;German;2022-12-12T20:34:57.544677;13;2022-12-12T19:00:24.804764;https://www.linkedin.com/feed/update/urn:li:activity:7008143234056998912/?actorCompanyId=1176657
Dr. Ottilie Klein;;Gespräch mit Schülerinnen und Schülern der Grundschule am Brandenburger Tor. Vergangene Woche habe ich mich mit Schülerinnen und Schülern aus der sechsten Klasse der Grundschule am Brandenburger Tor getroffen, um ihre Fragen zu Politik und dem Leben einer Politikerin zu beantworten. Was die Kinder;Sprachen;German;2022-12-12T20:34:39.217227;7;2022-12-12T19:16:20.207510;https://www.linkedin.com/feed/update/urn:li:activity:7008147354482532353/?actorCompanyId=1176657
